PMCID	activity	section_1	section_2	table_1	table_column_1	table_2	table_column_2	micro-organisms	
PMC4391421	antimicrobial	Materials and methods	Results and Discussion	Effects of thyme oil against bacteria expressed by the mean sizes of the inhibitory zones	Test microorganism			Staphylococcus aureus, Salmonella typhimurium, Pseudomonas aeruginosa, E. coli, Klebsiella pneumoniae, Enterococcus faecalis, Candida albicans	
PMC5080681	antibacterial, antifungal	Methods	Results	Antimicrobial activities of T. bovei essential oil 	Microorganism			Escherichia coli, Pseudomonas aeruginosa, Staphylococcus aureus, Staphylococcus aureus, Candida albicans 	
PMC5132230	antimicrobial	Materials and Methods	Results and Discussion	Minimum Inhibitory Concentration (MIC) and Minimum Bactericidal Concentration (MBC) of the essential oil Aeollanthus suaveolens.	Microorganism			Escherichia coli , Staphylococcus aureus, Salmonella sp.	
PMC5203915	antibacterial	Material and Methods	Results	Antibacterial and antifungal activity of essential oils from Rhaponticum carthamoides hairy roots (HR) and roots of soil-grown plants (SGR). The Minimum Inhibitory Concentration (MIC), the Minimum Bactericidal Concentration (MBC), and the Minimum Fungicidal Concentration (MFC) of essential oils were determined using the microdilution assay and are presented in µg/mL.	Microorganism			Staphylococcus aureus, Enterococcus faecalis, Pseudomonas aeruginosa, Escherichia coli, Saccharomyces cerevisiae, Candida albicans 	
PMC5237462	antibacterial, larvicidal	Material and Methods	Results and Discussion					Staphylococcus aureus, Escherichia coli, A. aegypti 	
PMC5248495	antimicrobial	Methods	 Results					Bacillus subtilis, Staphylococcus aureus, E. coli ,  Pseudomonas aeruginosa , Candida albicans ,  Debariomyces hansenii ,  B. subtilis , St. aureus, 	
PMC5282690									
PMC5307246									
PMC5324201	antimicrobial, antifungal	Methods	Results	Anti-bacterial activity (Zone of Inhibition) of Anethum sowa L. root essential oil by diffusion method 	Test organisms	Anti-fungal activity of Anethum sowa L. root essential oil	 Fungi	Bacillus subtilis, Bacillus cereus, Staphylococcus aureus, Enterococcus faecalis, Escherichia coli, Acetobacter aceti, Pseudomonas aeruginosa, Salmonella enteritidis,  Salmonella typhi, Candida albicans, Aspergillus niger, Sacharomyces cerevaceae, Trichoderma sp.	
PMC5330108	antifungal	MATERIALS AND METHODS						F. sporotrichioides	
PMC5344628	antifungal, antibacterial, antiviral, antiparasitic, antivermin	Results and Discussion	Materials					Fusarium graminearum, Penicillium corylophilum, Aspergillus Brasiliensis, S. aureus, E. coli, and L. monocytogenes	
PMC5364420	antibacterial	Methods		ZOI, MIC, and MBC of essential oil from C. rotundus rhizomes.	Bacterial strains			Staphylococcus aureus, Staphylococcus epidermidis, Bacillus subtilis,  Escherichia coli, Salmonella typhimurium, Shigella dysenteriae 	
PMC5393100									
PMC5397855									
PMC5411863									
PMC5412227	antimicrobial	Material and methods	Results and Discussion	Antimicrobial activity of D. kotschy essential oils. 	Microorganisms			Staphylococcus aureus, Staphylococcus epidermidis, Streptococcus agalactiae, Streptococcus mutans, Enterococcus faecalis, Listeria monocytogenes, Escherichia coli, Salmonella typhi, Salmonella paratyphi A, Salmonella enterica, Pseudomonas aeruginosa, Klebsiella pneumoniae 	
PMC5423258	antibacterial	Results and Discussion		Antibacterial activities (MIC and MBC) of C. decurrens, C. sempervirens and T. articulata essential oils	Microorganism			Staphylococcus aureus, Staphylococcus epidermidis, Streptococcus pyogenes, E. coli, Klebsiella pneumonia, Proteus vulgaris, Pseudomonas aeruginosa, Shigella boydii	
PMC5426739									
PMC5427463	insecticidal, antimicrobial 	Materials and Methods	Results and Discussion	Antibacterial activity of the SoEO against bacteria and determination of the Minimum Inhibitory Concentrations (MICs) and Minimum Bactericidal Concentrations (MBCs) expressed in mg/mL 	Strains	Antifungal activity of the SoEO and determination of the MICs and Minimum Fungicidal Concentrations (MFCs) expressed in mg/mL	Fungal strains	Bacillus subtilis, Bacillus cereus, Staphylococcus aureus, Micrococcus luteus, Salmonella enterica serotype Enteritidis, E. coli, Agrobacterium tumefaciens, Aspergillus niger, Aspergillus flavus, Botrytis cinerea, Rhizoctonia solani, Fusarium oxysporum, Alternaria alternata, Spodoptera littoralis	
PMC5448358									
PMC5454990	antimicrobial	Materials and Methods						Bacillus cereus, Escherichia coli, Pseudomonas aeruginosa, Staphylococcus aureus, and Staphylococcus epidermidis	
PMC5485486	antibacterial	Results		Inhibition zone diameters (mm) of A. citriodora essential oils on bacterial strains.	Bacterial strains			E. coli,S. aureus, P. aeruginosa	
PMC5486035	antimicrobial	Materials and methods	Results and Discussion	Minimal inhibitory concentrations (MICs) and minimal bactericidal concentrations (MBCs) of HEO (expressed as mg/mL) against Gram-positive and Gram-negative bacteria.	Bacterial Strain			S. aureus,E. coli,P. aeruginosa 	
PMC5497343	antibacterial	Methods		Minimum inhibitory concentrations (MIC) of essential oil of T. minuta flower	Bacteria	Minimum bactericidal concentrations (MBC) of essential oil of T. minuta flower	Bacteria	S. aurius, M. smegatis,S. uberis,Vibrio spp., E. coli, E. cloacae, L. ivanovii	
PMC5507808									
PMC5527698	antimicrobial	Results		The minimum inhibitory concentrations of Mentha piperita essential oil against bacterial strains tested	Strains	The minimum inhibitory concentrations of Mentha piperita essential oil against fungal strains tested	Strains	S. aureus,  B. cereus, M. luteus, B. subtilis, S. typhimurium , P. aeruginosa,  C. albicans, C. tropicalis 	
PMC5543433	antimicrobial	Results and Discussion	Methods	Antibacterial activity of ClEO against foodborne, spoiling bacteria and determination of the Minimum Inhibitory Concentrations (MICs) expressed in mg/ml	Strains	Antifungal activity of ClEO and determination of the Minimum Fungicidal Concentrations (MFCs) expressed in mg/ml	Fungal strains	Bacillus subtilis, Bacillus cereus, Staphylococcus aureus, Staphylococcus epidermidis, Enterococcus faecalis, Listeria monocytogenes, Salmonella enterica, Escherichia coli, Pseudomonas aeruginosa, Aspergillus niger, Aspergillus flavus, Aspergillus nidulans, Aspergillus fumigatus, Fusarium graminearum, Fusarium oxysporum, Fusarium culmorum, Alternaria alternata	
PMC5546729									
PMC5551175									
									
